ID,抽出日,メッセージ日,LINE名,カテゴリ,口コミ内容,使用済み,投稿日,備考
15,20260131,2026/01/25,か***,other,ありがとうございます❣️〒440-0812愛知県豊川市伊奈町茶屋14-1 ライフパーク・プラチナム303号室宮之原 一稀　宛📞　090 2084 6872こちらでよろしくお願いします❣️,,,
16,20260131,2026/01/25,や***,other,そうだったんですね😆楽しみに待っときます☺️楽しい撮影ありがとうございました💕お疲れ様でした😊,,,
17,20260131,2026/01/25,杏***,other,返信ありがとうございます！衣装の候補です！よろしくお願いします(よろしく),,,
18,20260131,2026/01/25,や***,other,こんにちは、今日はありがとうございました🤍今日の動画は貰えないんでしょうか？去年は貰えたので気になりました💭,,,
19,20260131,2026/01/25,と***,shichigosan,お世話になります。先ほどは撮影プランを変更してくださり、ありがとうございました。着物を着た姿を残しておきたいという親の気持ちとは裏腹に本人は何で着ないといけないのか理由もわからず、まだ早かったのだと思います。予定を立ててくださっていたのに、ご迷惑をお掛けして大変申し訳ございませんでした。侑暖くんの写真楽しみにしております😊,,,
20,20260131,2026/01/25,ゆ***,other,こんにちは！連絡遅くなりすいません💦可愛いフォトフレーム届きました😇早速、飾ってます🙂‍↕️💞ありがとうございました🙂‍↕️,,,
21,20260131,2026/01/25,ぱ***,other,おはようございます☀️わざわざ連絡ありがとうございます💡(ありがとう)選ぶのとても迷ったので、他の写真も入るなら嬉しいです～❕(ありがとう)(sparkles)よろしくお願いします(red heart),,,
22,20260131,2026/01/25,杏***,shichigosan,おはようございます☀️ご連絡が遅くなり申し訳ありません🙏①衣装について、写真を送ります！どれも素敵で迷っているので候補を送ります🥺②パパも着物を着たいので追加でお願いしたいです(お願いします)③ママの着物はインスタで見た感じのインナーが着たいのですが、、、みなさんこれは自前ですか(?),,,
23,20260131,2026/01/23,絵***,other,こんばんは！先日はありがとうございました👐🏻かわいいらしい仕上がりに感謝してます。また機会があった際はお願いします🙇,,,
24,20260131,2026/01/23,あ***,other,こんばんは🌙撮影ありがとうございました😊フォトフレームを注文しているのですが、フォトパネルの名前を教えていただきたいです🙇‍♀️,,,
25,20260131,2026/01/23,満***,other,ありがとうございます！いつも楽しい雰囲気を作ってくださるので2人ともいい笑顔になってくれたと思います✨😊またオプション品については改めて連絡したいと思います。ありがとうございました！✨,,,
26,20260131,2026/01/23,伶***,other,ありがとうございます🙇‍♂️とっても可愛く写ってて、嬉しいです(嬉しい)是非、また機会がありましたらよろしくお願いします🙇‍♀️,,,
27,20260131,2026/01/23,ぞ***,other,あ！申し訳ありません！ありがとうございます！！そのままで大丈夫です！データ楽しみにしております😊,,,
28,20260131,2026/01/22,a***,other,データありがとうございます。今回DVDを購入したプランだったかと思います。郵送先をデータが出来た時点でお伝えすることにしておりました。大阪の自宅に郵送お願いしたいのでお伝えさせていただきます。,,,
29,20260131,2026/01/21,吉***,other,こんにちは！ご連絡ありがとうございます！素敵な写真ばかりで嬉しいです！とても楽しかったです！またお願いします！,,,
30,20260131,2026/01/20,M***,other,いえいえこちらこそ楽しい時間を作っていただきありがとうございました(emoji)写真も上手に撮っていただいて大満足です(emoji)また機会があればよろしくお願いします(emoji),,,
31,20260131,2026/01/20,え***,other,楽しい撮影時間をありがとうございました🙇‍♀️子供が泣いてたりして迷惑かけてしまいすみませんでした😣また機会があればよろしくお願いします🫶,,,
32,20260131,2026/01/20,菜***,other,調整いただきありがとうございます。1/27(火)12時〜14時大丈夫です！よろしくお願いします。,,,
33,20260131,2026/01/20,瑠***,other,この間は753の撮影ありがとうございました(bow)写真すごく可愛く撮ってくださりありがとうございます(emoji)また、何かの時はお願いします(うるうる)(emoji),,,
34,20260131,2026/01/20,た***,other,こんにちは！今回は撮影ありがとうございました。とても可愛くうつしていただいて、感謝ばかりです！また機会がありましたらうかがわせてください☺️,,,
35,20260131,2026/01/20,な***,other,おはようございます！ありがとうございます！よろしくお願いします！一応確認なのですが、ちょうど年末にカゴの写真送ってしまったのですが、ちゃんと送られているでしょうか？？,,,
36,20260131,2026/01/19,楓***,other,可愛すぎる撮影をありがとうございました☺️✨途中でぐずることもありご迷惑おかけしてしまいすいません💧むすめたちの最高の笑顔、可愛い姿、はじめてのお化粧して女の子になったすがたを見せていただきありがとうございました🕊️きっと可愛く素敵な写真がたくさんあるんだろうなぁ~！！って今からすでにデータが出来上がる日がたのしみです🔥去年のことがありどうなることかと思いましたが最高な撮影時間に感激です😌ありがとうございました(emoji)(emoji),,,
37,20260131,2026/01/19,や***,other,こんにちは😃先日はありがとうございました！お写真拝見いたしました！泣いている写真が多いですが、この時にしか見れない表情ですよね😂フォトフレーム注文するときはコメントいたします😊,,,
38,20260131,2026/01/19,あ***,other,おはようございます🌞先日は撮影ありがとうございました😊写真確認後、返信が遅くなり申し訳ございません🙇‍♀️子供達も写真を見て撮影日のことをおもいだしいろいろと話をしてくれました☺️今回もありがとうございました😊また機会があればよろしくお願いいたします😉,,,
39,20260131,2026/01/18,北***,omiyamairi,今日は撮影本当にありがとうございました(ありがとう) 実はお宮参りの時予約してたのを、都合が合わずでこちらにお願いできずにいたのが心残りで今回、一歳のバースデーフォトを絶対お願いしようと思っていました。日向から来させて頂きました🥺初めてで私たちもドキドキでしたが、撮影が楽しくて気に入り2歳の誕生日もお願いしようと思っています🎀ギャン泣きで大変な娘を笑顔で最後まで対応して下さり嬉しかったです♫またお願いしたいです！転勤族なので七五三の時いないかもしれないのですが、お願いできたら絶対したいです🥺,,,
40,20260131,2026/01/18,ぞ***,other,かしこまりました！ありがとうございます、ちなみに衣装は私物でも撮ってくれることは可能ですか？？持ち物のみですかね？？,,,
41,20260131,2026/01/18,み***,other,とっても素敵なお写真ありがとうございます！！たくさんアンパンマンであやしてくださったおかげでニコニコで過ごせて良かったです！早速待ち受けにしました。可愛すぎます。雰囲気最高でした。本当にありがとうございました！！！,,,
42,20260131,2026/01/17,ま***,other,わかりました☺️ありがとうございます。また写真を選びたいと思います(ハート),,,
43,20260131,2026/01/17,ま***,other,回答ありがとうございます。2面アルバムですね。ありがとうございます😊上記した様に、すでに申し込んだオプションも確認したいです。DVDもつけて費用を払っていたと思います。確認していただけますでしょうか？☺️,,,
44,20260131,2026/01/17,n***,other,本日、アルバムが手元に届きました！！素敵な贈り物ありがとうございました(素敵)またよろしくお願いします🙇🏻‍♀️💕,,,
45,20260131,2026/01/17,A***,other,返信ありがとうございます！！23日、午後は空いてないですよね😭？,,,
46,20260131,2026/01/17,か***,other,ありがとうございます♪😊去年の2月に妹がうまれ、えなもすっかりお姉ちゃんになりました(音符)予約表を見ると2/22(日)が空いていたのでそちらで予約をとらせていただきたいです。,,,
47,20260131,2026/01/17,ま***,shichigosan,おはようございます。七五三アルバムプランで先日利用をさせて頂きありがとうございます☺️その際、私達が申し込んだオプション品の確認をしたいのですが、教えて頂けますでしょうか？アルバムも何ページのものになりますでしょうか？表表紙などの写真の選定が遅くなっていて申し訳ありませんが、回答お待ちしております。よろしくお願いします(よろしく),,,
48,20260131,2026/01/16,ゆ***,other,ありがとうございます😃足袋などはその後のロケフォト、参拝でもお借りできるのですか？,,,
49,20260131,2026/01/16,さ***,other,ありがとうございます😊承知しました！明日はよろしくお願いいたします🙇‍♂️,,,
50,20260131,2026/01/16,h***,other,ありがとうございます！また予定日と、出産したらご連絡させていただきます！😌よろしくお願いします！,,,
51,20260131,2026/01/16,北***,other,撮影楽しみにしてたので、もう少し様子見ようと思ってます。。。すみません！ありがとうございます😭,,,
52,20260131,2026/01/16,ま***,other,ありがとうございます(emoji)楽しみに待ってます🥰よろしくお願いします(よろしく),,,
53,20260131,2026/01/16,a***,other,返信ありがとうございます😭✨夜中に予約失礼しました🙇‍♀️衣装は当日選ぶのでしょうか？どこから選べば良いでしょうか？👕,,,
54,20260131,2026/01/16,ゆ***,shichigosan,ありがとうございます😃そうなのですか、とりあえず候補をあげといてその日にあればという感じでいいでしょうか？何度も質問すみません。主人の着物レンタルをお願いしているのですが、着付けの際に用意するものはありますか？,,,
55,20260131,2026/01/16,ま***,newborn,こちらこそ、今年もよろしくお願いします(お願いします)ありがとうございます😭よろしくお願いします(！！)どちらも遅くなりすみませんでした😭😭ニューボーンはこの写真でお願いします(！！),,,
56,20260131,2026/01/16,さ***,other,ご連絡ありがとうございます😊産着レンタルにつきまして、12:30頃にお伺いしたいと思いますが、いかがでしょうか😌？,,,
57,20260131,2026/01/16,***,other,ありがとうございます😊当日はよろしくお願いいたします(よろしくお願いします)✨,,,
58,20260131,2026/01/16,h***,other,ありがとうございます！夫が仕事の為日曜日が希望なのですが、難しいでしょうか？(15.22など),,,
59,20260131,2026/01/15,山***,other,ありがとうございます。妻と話して決まり次第、すぐにご連絡させていただきます。,,,
60,20260131,2026/01/15,h***,other,ありがとうございます！今仮予約させていただきました！3／9予定日戸澤遥奈です！,,,
61,20260131,2026/01/15,Ｒ***,other,撮影、写真ありがとうございました(ありがとう)とても可愛く撮っていただき、大満足です(満足),,,
62,20260131,2026/01/14,瑠***,family,可愛い写真データをありがとうございます(emoji)(emoji)姉弟2人で撮るのは大変でしたが、すごく楽しい思い出になりました！！本当にありがとうございました(emoji),,,
63,20260131,2026/01/14,ひ***,other,先日はありがとうございました🙇🏻‍♂️どれも本当に素敵な写真ばかりで、夫婦共々とても感激しています👏また機会がありましたら、ぜひよろしくお願いします😃,,,
64,20260131,2026/01/14,く***,other,素敵な写真をたくさんありがとうございました(emoji)また機会がありましたらよろしくお願いします(よろしく),,,
65,20260131,2026/01/14,中***,other,こんにちは🦒こちらこそありがとうございました！写真確認しました！どれも良い写真ばかりで嬉しいです✨🙌🏻また何かのタイミングと、帰省のタイミングが重なれば是非お願いします🙇‍♂️,,,
66,20260131,2026/01/13,山***,shichigosan,こんばんは！先日はありがとうございました！スライドショーの確認をさせて頂いたのですが、着物の写真で手に数字の5を持っている写真なのですが、今回の七五三さんは7歳の七五三なので、なぜ5だったかなーと疑問でした💦,,,
67,20260131,2026/01/13,玲***,birthday,ありがとうございました😊素敵な写真がたくさんあって嬉しいです(嬉しい)無事に誕生日会できました🎂また機会があれば写真撮影お願いしたいと思うのでその時はよろしくお願いします(よろしくお願いします),,,
68,20260131,2026/01/13,T***,other,こんばんは今日は撮影ありがとうございました！領収書もありがとうございます(ありがとう)データ楽しみにしております♪よろしくお願いします💐,,,
69,20260131,2026/01/13,山***,other,すみません。ありがとうございます！また3月によろしくお願いします🙇,,,
70,20260131,2026/01/13,と***,other,とても分かりやすくありがとうございます🙇‍♀️承知いたしました！衣装を決めて、またご連絡いたします😉,,,
71,20260131,2026/01/13,K***,other,ありがとうございます😊❣️〠880-0914宮崎市宮の元町4-3090-9403-7200田村薫よろしくお願いいたします(よろしくお願いします)✨,,,
72,20260131,2026/01/13,n***,other,連絡ありがとうございます！！以下の通りですのでよろしくお願いします🙇🏻‍♀️👇880-0841宮崎市吉村町中原甲2722番地2108041186174大野奈々,,,
73,20260131,2026/01/13,し***,other,ご丁寧にありがとうございます🙇🏻‍♀️撮影楽しみにしています！今夜に衣装決めてまたご連絡いたします。,,,
74,20260131,2026/01/13,あ***,other,先日はありがとうございました😍どの写真も素敵で、可愛く撮って頂き、さすがお上手！(Love you)と、とても嬉しい気持ちでいっぱいです☺️🌈ゆりあはナイスアシストでしたよね、褒めて頂き嬉しいです(嬉しい)パパもおかげさまで元気になりました🍀また機会があればぜひお願いします(お願いします)🌸✨,,,
75,20260131,2026/01/13,野***,other,こんにちは☀️わぁ♡♡待ってました🥹どれも素敵な写真ばかりで、全部私の宝物です🩷🎁せいたは、新しい場所だったのでテンションが高く、ご迷惑をおかけしてしまいすみませんでした💦一時もじっとしてないのでカメラ目線で写真撮るのは本当に難しいのですが、ばっちりカメラ目線＆笑顔で感動しました🥹hikarinoさんにお願いできてよかったなぁと毎回思います🩷この子達が大きくなった時に、また見せてあげようと思います🫶楽しい思い出を本当にありがとうございました☺️,,,
76,20260131,2026/01/13,み***,newborn,こんにちは☺️わー！！どれも日常感のある素敵な写真で嬉しいです新生児期は上の子もまだ幼いため慌ただしく過ぎてしまい…ニューボーンフォトを残せなかったことが心残りだったのですが、日常を切り取ったような写真に残していただき一生の思い出です✨数年後子どもが成長した時に一緒に見て、離乳食はこんな風に食べてたんだよ〜などとまた思い出話ができたら良いな〜と思いました☺️💓こんなにたくさんの写真いただいてしまってよろしいのでしょうか…！！熱で延期していただいたことも大変助かりました本当にありがとうございました😌インスタにもあげさせてもらって、ママ友にも布教したいと思います！,,,
77,20260131,2026/01/12,n***,other,こんにちは☀️こちらこそ楽しく撮影していただきありがとうございました♪,,,
78,20260131,2026/01/12,幸***,other,昨日はお世話になりました！ありがとうございます！！可愛いです！データ楽しみにしています☺️,,,
79,20260131,2026/01/12,赤***,other,ありがとうございます。承知しました！また、スケジュール調整の後予約検討させていただきます。ご丁寧にありがとうございました。,,,
80,20260131,2026/01/12,赤***,other,早速のご連絡ありがとうございます。ご祈祷の予約の件、承知しました。もう一点質問です。例えば8:45-10:30の撮影枠の場合スタジオとロケを含めての時間という認識でよろしいですか？,,,
81,20260131,2026/01/11,絢***,other,ありがとうございます！よろしくお願い致します！大人の草履のみのレンタルはされてないですよね❓(T . T),,,
82,20260131,2026/01/11,***,other,わかりました💦今回は見送らせていただきますまた機会があればよろしくお願いしますありがとうございました！,,,
83,20260131,2026/01/11,お***,other,ご返事ありがとうございます。承知しました！また状況によって追ってご相談させていただきます。引き続きどうぞよろしくお願いします(^^),,,
84,20260131,2026/01/11,***,other,おはようございます😌確認いただきありがとうございます♡また、料金など検討してご連絡いたします(heart eyes Moon),,,
85,20260131,2026/01/11,足***,other,お世話になっております。ご連絡ありがとうございました。ご返信が遅くなり申し訳ありません。父に用件を聞いたところ、先日撮影していただいた犬と両親の写真に、もう1カット犬と撮ってほしい構図を思いついたので、追加でお支払いをするので並んだ後ろ姿を撮ってもらえたらと思ったのでご連絡させていただいたようでした😣父には、それならばロケーション出張撮影をもう一度ご依頼する形でないといけないよと私から説明しました🙏昨日はおそらく電話した際留守電にその旨入れているのではと思います。また折り返しいただいた時に手が離せず出られなかったようでした。申し訳ありません🙇‍♀️1カットのためにもう一度撮影を申し込むにしても場所は同じ庭で、同じメンバーですので、そこまではなくても良いかと思い、父が思いついたのは母が家のカメラで撮ると言っておりますので、お問い合わせの件はご放念ください😭,,,
86,20260131,2026/01/10,ぞ***,other,ありがとうございます！！19日以降でご都合いい日はありますか？？,,,
87,20260131,2026/01/10,菜***,other,ありがとうございます。平日は夫が仕事でして、土日でお願いしていたと思うのですが、、難しいでしょうか。,,,
88,20260131,2026/01/10,***,other,撮影日から、1年以上たっているので駄目ですね😌教えていただきありがとうございました♡,,,
89,20260131,2026/01/10,⋆***,family,おつかれ様です初めてのファミリーフォト撮影会とても楽しかったです☺️💕思春期の閉ざした心を開いてくださってありがとうございましたデータ楽しみ〜🥰,,,
90,20260131,2026/01/10,ど***,other,こちらこそありがとうございました！2人だけの撮影でどうなるかと不安でしたが皆さんの対応のおかげで娘も楽しそうに撮影することができたと思います！ありがとうございました😊写真のデータ届くの楽しみにしています！,,,
91,20260131,2026/01/10,ほ***,other,ありがとうございます😭また機会が頂けましたらよろしくお願い致します🙇,,,
92,20260131,2026/01/10,ほ***,other,おはようございます。今日の撮影会ですが、夜中から息子が発熱してしまいました...。本当に残念ですが、今もまだお熱が高いので今日はキャンセルさせてください🙇キャンセル料などございましたら、また教えていただけると嬉しいです。申し訳ありません。,,,
93,20260131,2026/01/09,ゆ***,other,良かったー(ありがとう)(ありがとう)(ありがとう)何度もすみませんでした💦明日よろしくお願いします🙇‍♀️,,,
94,20260131,2026/01/09,ゆ***,other,急に申し訳ないです💦ありがとうございます😭またよろしくお願いします(よろしく),,,
95,20260131,2026/01/09,中***,other,いただいたデータ、みんなで見ました！いつもとまた違う雰囲気で、泣き顔も笑顔も記念に残せて大満足です(満足)ありがとうございました😊今回こそはアルバムの写真を早く頼みたいと思います🫡,,,
96,20260131,2026/01/09,高***,other,ご連絡ありがとうございます😊ぜひ購入したいです。よろしくお願いいたします(よろしくお願いします),,,
97,20260131,2026/01/08,い***,other,先日はありがとうございました🥺🎀とってもかわいいです😭💗💗💗ありがとうございました！,,,
98,20260131,2026/01/08,河***,shichigosan,こちらこそ七五三の撮影をして頂きありがとうございました🙇‍♀️✨️初めての袴と着物で機嫌がもつか心配でしたが、無事に撮影が出来て良かったです！！ありがとうございました(emoji)携帯だけの保存が心配なので、DVDのデータ(￥5000)を注文したいと思うのですが可能でしょうか？？(emoji),,,
99,20260131,2026/01/08,な***,shichigosan,こんばんは！素敵な時間を過ごさせていただきありがとうございました(素敵)データ見させていただいてアルバムについては検討したいと思ってます！また、とあちゃんの七五三とかもあるのでお願いするかもしれません！その時はまたよろしくお願いします🙇‍♀️素敵な写真ありがとうございます！！！あとひとつ謝らないといけないことがあって、写真撮影の後、お着物お借りしたのですが、手提げ袋を車の中に置いたままにしていたのに最近気付きまして、すみません！早めにお返しに伺います！,,,
100,20260131,2026/01/08,r***,other,ありがとうございます！どれも素敵に仕上がっていて特別な記念写真になりました(emoji),,,
